,ra,dec,ang_size,mag,P_O,p_xO,P_Ox,P_Ux,iFRB
41077,149.77872299999999,2.5744759999999998,0.9819934,20.823985999999998,0.03831406882571805,0.00044233163138364807,0.41303101252071445,0.16924424028230867,0
41084,149.777524,2.576435,0.4127946,22.843554,0.006019265470152195,0.0020261388384972424,0.2972275686425979,0.16924424028230867,0
41075,149.777955,2.5672509999999997,0.31162660000000003,21.377703,0.022538550331494815,0.0001491470614087282,0.08192511691478774,0.16924424028230867,0
41072,149.778309,2.568582,0.8427937500000001,23.003826,0.005248509130035781,0.00018689120944905346,0.02390568658231257,0.16924424028230867,0
41085,149.775524,2.565468,0.68680665,21.988901000000002,0.012806448221511207,4.3898347660290434e-05,0.01370103139127073,0.16924424028230867,0
41065,149.779098,2.562951,0.7523051000000001,21.33399,0.023487620591680115,1.4698688218187312e-06,0.0008413834992909812,0.16924424028230867,0
34550,149.77078600000002,2.585186,2.0686409,18.5515,0.4078953331392341,8.878757053804888e-09,8.826271836281521e-05,0.16924424028230867,0
41066,149.780701,2.573162,0.5593148,22.942331,0.005530889227585902,2.5547601577636907e-07,3.443669664655038e-05,0.16924424028230867,0
41056,149.782428,2.569416,1.2341966500000001,20.505557999999997,0.05240321509483303,9.87058918566282e-10,1.2606002815953304e-06,0.16924424028230867,0
34535,149.771346,2.570911,0.24481229999999998,22.99061,0.005307859491558982,9.350492454635326e-13,1.2095680082709234e-10,0.16924424028230867,0
34545,149.77045,2.576436,0.6592962,21.639374,0.017647755589097532,5.796148895703036e-14,2.492903134313367e-11,0.16924424028230867,0
41062,149.7831,2.57582,0.39591175000000006,22.580128,0.007563194057670594,1.647675626469387e-14,3.0370598532062505e-12,0.16924424028230867,0
41057,149.78301299999998,2.571429,0.40153970000000005,23.098722,0.004842780519451976,1.9859985345565722e-14,2.3439594826123317e-12,0.16924424028230867,0
34551,149.769793,2.577452,0.7238469500000001,21.913013,0.01372170934897049,4.736760885442151e-16,1.584039720675046e-13,0.16924424028230867,0
34561,149.77041,2.5906119999999997,0.34364635000000004,22.558584,0.007707078017239616,3.440049466243947e-18,6.461462566459421e-16,0.16924424028230867,0
34540,149.769834,2.56618,0.46484324999999993,23.167233,0.004570922277769059,2.4357559226873423e-18,2.7134010817818596e-16,0.16924424028230867,0
41052,149.78454299999999,2.575948,0.5006578500000001,23.077488,0.004930538548824289,8.607236378606249e-20,1.0342713116222471e-17,0.16924424028230867,0
34557,149.768298,2.577545,0.6611153500000001,22.934685,0.005567126688386149,8.057051316126372e-23,1.0931597281369956e-20,0.16924424028230867,0
34552,149.768528,2.573425,0.40435865000000004,22.830467000000002,0.0060873751185638696,2.063104062702525e-23,3.0607481024733625e-21,0.16924424028230867,0
34549,149.767909,2.5650180000000002,0.8228025500000001,22.590908,0.007492283352794944,5.82279217019907e-25,1.0632169041521493e-22,0.16924424028230867,0
41054,149.786173,2.585913,0.8190218,21.864693,0.014340720646972583,1.1935633903084534e-26,4.171505832594239e-24,0.16924424028230867,0
41049,149.785659,2.5792450000000002,0.30186145000000003,22.645309,0.007145160475201383,1.63483415643292e-26,2.8468335790518703e-24,0.16924424028230867,0
41059,149.785666,2.5873619999999997,0.48563160000000005,22.615053,0.007336034177710098,6.736443426410518e-27,1.2043934990603556e-24,0.16924424028230867,0
34563,149.76698000000002,2.576023,0.79617455,21.723463,0.01632715250734972,1.7682034666589714e-28,7.035890580977526e-26,0.16924424028230867,0
41033,149.786977,2.56961,0.84423465,22.012354000000002,0.012536961446972845,6.846258486150906e-30,2.09180873599392e-27,0.16924424028230867,0
41034,149.786506,2.567241,0.4319567,22.258867000000002,0.010044464817963134,5.184578720236201e-31,1.2691608436694297e-28,0.16924424028230867,0
34575,149.766625,2.5809919999999997,0.6922206500000001,21.864538,0.014342753633494656,1.183619498205401e-31,4.1373383540456115e-29,0.16924424028230867,0
41023,149.788245,2.56736,0.44836175000000006,22.617435,0.007320810253297932,1.2834470297438146e-41,2.2898840371673522e-39,0.16924424028230867,0
41032,149.789244,2.583075,0.9586214000000001,21.534929,0.019448654188379228,5.6534385017048006e-43,2.6796533541384955e-40,0.16924424028230867,0
